date,close_price_PAXGUSD,return_PAXGUSD,signal_PAXGUSD,position_PAXGUSD,signal_return_PAXGUSD,signal_basket_return,cum_signal_basket_return,cum_return_PAXGUSD,cum_signal_return_PAXGUSD
2024-01-25 00:00:00,2003.245605,-8.68876E-05,0,0.5,-4.34438E-05,-4.34438E-05,0.047404475,0.320957189,0.047404475
2024-01-26 00:00:00,1998.927734,-0.002155438,0,0.5,-0.001077719,-0.001077719,0.046275668,0.318109948,0.046275668
2024-01-27 00:00:00,1998.884521,-2.1618E-05,0,0.5,-1.0809E-05,-1.0809E-05,0.046264359,0.318081453,0.046264359
2024-01-28 00:00:00,2006.891846,0.004005896,0,0.5,0.002002948,0.002002948,0.048359972,0.323361551,0.048359972
2024-01-29 00:00:00,2009.041504,0.001071138,0,0.5,0.000535569,0.000535569,0.048921441,0.324779053,0.048921441
2024-01-30 00:00:00,2015.322388,0.003126309,0,0.5,0.001563154,0.001563154,0.050561067,0.328920722,0.050561067
2024-01-31 00:00:00,2019.105347,0.001877099,0,0.5,0.000938549,0.000938549,0.05154707,0.331415237,0.05154707
2024-02-01 00:00:00,2035.125977,0.007934519,1,1,0.00396726,0.00396726,0.055718831,0.341979377,0.055718831
2024-02-02 00:00:00,2023.729248,-0.005600011,1,1,-0.005600011,-0.005600011,0.049806793,0.334464277,0.049806793
2024-02-03 00:00:00,2019.395508,-0.002141462,0,0.5,-0.002141462,-0.002141462,0.047558671,0.331606572,0.047558671
2024-02-04 00:00:00,2019.251587,-7.12693E-05,0,0.5,-3.56346E-05,-3.56346E-05,0.047521342,0.331511669,0.047521342
2024-02-05 00:00:00,2004.479736,-0.007315508,0,0.5,-0.003657754,-0.003657754,0.043689767,0.321770985,0.043689767
2024-02-06 00:00:00,2016.672974,0.006082994,1,1,0.003041497,0.003041497,0.046864146,0.32981131,0.046864146
2024-02-07 00:00:00,2015.430786,-0.000615959,1,1,-0.000615959,-0.000615959,0.046219321,0.328992201,0.046219321
2024-02-08 00:00:00,2010.811279,-0.002292069,0,0.5,-0.002292069,-0.002292069,0.043821313,0.325946058,0.043821313
2024-02-09 00:00:00,2003.125122,-0.003822416,1,1,-0.001911208,-0.001911208,0.041826354,0.320877741,0.041826354
2024-02-10 00:00:00,2000.717773,-0.001201796,0,0.5,-0.001201796,-0.001201796,0.040574291,0.319290315,0.040574291
2024-02-11 00:00:00,2005.058105,0.002169387,0,0.5,0.001084694,0.001084694,0.041702995,0.322152367,0.041702995
2024-02-12 00:00:00,2000.056641,-0.002494424,0,0.5,-0.001247212,-0.001247212,0.040403771,0.318854358,0.040403771
2024-02-13 00:00:00,1991.046387,-0.004504999,0,0.5,-0.0022525,-0.0022525,0.038060261,0.31291292,0.038060261
2024-02-14 00:00:00,1982.313232,-0.004386213,0,0.5,-0.002193107,-0.002193107,0.035783685,0.307154204,0.035783685
2024-02-15 00:00:00,1982.804443,0.000247797,0,0.5,0.000123898,0.000123898,0.035912016,0.307478113,0.035912016
2024-02-16 00:00:00,1987.682739,0.002460301,0,0.5,0.001230151,0.001230151,0.037186344,0.310694902,0.037186344
2024-02-17 00:00:00,1988.712402,0.000518022,0,0.5,0.000259011,0.000259011,0.037454987,0.311373871,0.037454987
2024-02-18 00:00:00,1991.337402,0.00131995,0,0.5,0.000659975,0.000659975,0.038139681,0.313104818,0.038139681
2024-02-19 00:00:00,1989.149536,-0.001098692,0,0.5,-0.000549346,-0.000549346,0.037569383,0.311662121,0.037569383
2024-02-20 00:00:00,2003.425171,0.007176753,0,0.5,0.003588376,0.003588376,0.041292573,0.321075596,0.041292573
2024-02-21 00:00:00,2002.674683,-0.000374603,1,1,-0.000187301,-0.000187301,0.041097537,0.320580717,0.041097537
2024-02-22 00:00:00,2000.154419,-0.001258449,0,0.5,-0.001258449,-0.001258449,0.039787369,0.318918834,0.039787369
2024-02-23 00:00:00,2008.475342,0.00416014,1,1,0.00208007,0.00208007,0.0419502,0.324405721,0.0419502
2024-02-24 00:00:00,2006.625122,-0.000921206,1,1,-0.000921206,-0.000921206,0.040990349,0.323185671,0.040990349
2024-02-25 00:00:00,2007.37085,0.000371633,1,1,0.000371633,0.000371633,0.041377215,0.32367741,0.041377215
2024-02-26 00:00:00,2006.230469,-0.000568097,1,1,-0.000568097,-0.000568097,0.040785612,0.322925433,0.040785612
2024-02-27 00:00:00,2004.737671,-0.000744081,0,0.5,-0.000744081,-0.000744081,0.040011183,0.321941069,0.040011183
2024-02-28 00:00:00,2019.914429,0.007570446,1,1,0.003785223,0.003785223,0.043947857,0.331948753,0.043947857
2024-02-29 00:00:00,1995.535034,-0.012069518,0,0.5,-0.012069518,-0.012069518,0.031347909,0.315872772,0.031347909
2024-03-01 00:00:00,2023.880859,0.014204624,1,1,0.007102312,0.007102312,0.038672864,0.334564251,0.038672864
2024-03-02 00:00:00,2030.919678,0.003477882,0,0.5,0.003477882,0.003477882,0.042285246,0.339205707,0.042285246
